id,ubigeo,region,provincia,distrito,area_terreno_m2,area_ocupada_m2,area_disponible_m2,area_techada_m2,antiguedad_anios,tiene_planos,planos_actualizados,material_predom_paredes,estado_conserv_paredes,material_predom_pisos,estado_conserv_pisos,material_predom_techo,estado_conserv_techo,electricidad_7_dias,electricidad_con,agua_procedencia,agua_potable,agua_7_dias,banio_coneccion
0112,060802,CAJAMARCA,JAEN,BELLAVISTA,4000,122,3877,122,64,Sí,No,¿Adobe o tapial?,Malo,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Caña o estera con torta de barro?,Malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0113,060905,CAJAMARCA,SAN IGNACIO,"NAMBALLE",432,292,140,292,17,Sí,No,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,"¿Concreto armado (losa aligerada, losa maciza)?",Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0114,060906,CAJAMARCA,SAN IGNACIO,SAN JOSÉ DE LOURDES,324,226,98,332,12,Sí,No,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Madera / entablillado?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,No,NA,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0115,130301,LA LIBERTAD,BOLÍVAR,BOLÍVAR,652,206,446,412,40,No,NA,¿Adobe o tapial?,Bueno,¿Madera pulida?,Bueno,¿Planchas de calamina / metálicas / latón?,Malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0116,061106,CAJAMARCA,SAN MIGUEL,LA FLORIDA,154,108,46,108,68,No,NA,¿Adobe o tapial?,Malo,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0117,061108,CAJAMARCA,SAN MIGUEL,"NANCHOC",432,200,232,200,10,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Láminas asfálticas, vinílicos o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0118,061109,CAJAMARCA,SAN MIGUEL,NIEPOS,250,180,70,360,40,No,NA,¿Adobe o tapial?,Malo,"¿Láminas asfálticas, vinílicos o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0119,061109,CAJAMARCA,SAN MIGUEL,NIEPOS,924,287,637,487,40,No,NA,¿Adobe o tapial?,Malo,"¿Láminas asfálticas, vinílicos o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Letrina (pozo ciego o negro)?
0120,061301,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,356,356,0,311,57,No,NA,¿Adobe o tapial?,Malo,¿Cemento?,Bueno,¿Planchas de calamina / metálicas / latón?,Malo,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
0121,061302,CAJAMARCA,SANTA CRUZ,ANDABAMBA,660,350,310,350,38,No,NA,¿Ladrillo o bloque de cemento?,Bueno,"¿Losetas, terrazos, cerámicas o similares?",Bueno,¿Planchas de calamina / metálicas / latón?,Bueno,Sí,¿Medidor de uso exclusivo?,¿Red pública dentro del local?,Sí,Sí,¿Red pública de desagüe dentro de la comisaría/Unidad especializada?
